officialSet,officialCardNumber,name,type,status,risk,ruleId,reason,officialUrl,officialImageUrl,imageStatus,imageAudit,text
"BP01","BP01-057/100","新たなる場所へ","memoria","未対応","high","no_match","現在の実装に対応する明示ロジックを確認できず / 正規イラスト表示UI確認済み","https://xross-stars.com/card/1-057","https://assets.xross-stars.com/card/BP01/BP01-057_f532f692e44b2f46aa36c2721e847be3.png","ready","ready","【アタック強化】次のアタックのダメージ+30。 / 【アタック後】対戦相手の他のリーダーすべてに10ダメージ。"
"BP01","BP01-078/100","偶然の邂逅","memoria","未対応","high","no_match","現在の実装に対応する明示ロジックを確認できず / 正規イラスト表示UI確認済み","https://xross-stars.com/card/1-078","https://assets.xross-stars.com/card/BP01/BP01-078_af18935c42c92be6489e2ba2052757ac.png","ready","ready","【アタック強化】次のアタックのダメージ+30。 / 【アタック後】対戦相手の他のリーダーすべてに10ダメージ。"
"BP02","BP02-052/082","恐怖の迷宮","memoria","未対応","high","no_match","現在の実装に対応する明示ロジックを確認できず / 正規イラスト表示UI確認済み","https://xross-stars.com/card/5-052","https://assets.xross-stars.com/card/BP02/BP02-052_beedee0b1184f2a97dedbe1021ff66d8.png","ready","ready","【アタック強化】次のアタックのダメージ+20。 / 【アタック後】対戦相手の他のリーダーすべてに10ダメージ。"
"BP02","BP02-077/082","オートタレット","tactics","未対応","high","no_match","現在の実装に対応する明示ロジックを確認できず / 正規イラスト表示UI確認済み","https://xross-stars.com/card/5-077","https://assets.xross-stars.com/card/BP02/BP02-077_abe6ad735d78569258caaede6b98c9f0.png","ready","ready","これを装備しているリーダーは以下の能力を持つ。 / 「【アタック後】このアタックの【アタック後】効果でダメージを与えているなら、対戦相手の他のリーダーすべてに10ダメージ。この効果はターンに1回しか発動しない。」"
"BP02","BP02-079/082","ヒーリングオーブ","tactics","未対応","high","no_match","現在の実装に対応する明示ロジックを確認できず / 正規イラスト表示UI確認済み","https://xross-stars.com/card/5-079","https://assets.xross-stars.com/card/BP02/BP02-079_f1e734d3245f2f619264a62455ae9406.png","ready","ready","【プレイ時】自分のリーダー1体を60回復する。 / これを装備しているリーダーは以下の能力を持つ。 / 「【アタック後】自分のリーダー1体を20回復する。この効果はターンに1回しか発動しない。」"
"BP02","BP02-110/082","恐怖の迷宮","memoria","未対応","high","no_match","現在の実装に対応する明示ロジックを確認できず / 正規イラスト表示UI確認済み","https://xross-stars.com/card/5-110","https://assets.xross-stars.com/card/BP02/BP02-110_0c3a20e2462107697d300e7729e8a159.png","ready","ready","【アタック強化】次のアタックのダメージ+20。 / 【アタック後】対戦相手の他のリーダーすべてに10ダメージ。"
"BP01","BP01-017/100","一騎当千","attack","近似対応","medium","ordered_play+variable_count","順序選択を簡略化 / 選択枚数を自動化 / 正規イラスト表示UI確認済み","https://xross-stars.com/card/1-017","https://assets.xross-stars.com/card/BP01/BP01-017_697e68c2b38966be692040f33e57a60d.png","ready","ready","【アタックする】 / 【アタック後】自分の手札のエース以外のメモリアカードを、コストの合計が3以下になるように好きな枚数公開する。公開したカードを、コストを支払わず好きな順番でプレイする。（プレイしたカードは、このカードの右側に置く。それらの効果は、このアタックが終わってから左から順番に実行する。）"
"BP01","BP01-029/100","うるパーンチッ！","attack","近似対応","medium","signal_1","実装済みサブ処理の組み合わせだが全文一致では未検証 / 正規イラスト表示UI確認済み","https://xross-stars.com/card/1-029","https://assets.xross-stars.com/card/BP01/BP01-029_0a1c8dcc5816770d9f25a66af201a64b.png","ready","ready","【アタックする】 / 【アタック後】オーバーキル30：対戦相手の他のリーダー1体に50ダメージ。（このアタックを受けたリーダーに、そのリーダーの残り体力よりも30以上大きいダメージを与えていたなら、対戦相手の他のリーダー1体に50ダメージ。）"
"BP01","BP01-039/100","アジト急襲","attack","近似対応","medium","signal_1+signal_4","実装済みサブ処理の組み合わせだが全文一致では未検証 / 正規イラスト表示UI確認済み","https://xross-stars.com/card/1-039","https://assets.xross-stars.com/card/BP01/BP01-039_c1f9bd8c9453b87d8aa64bfeea288a7a.png","ready","ready","【アタックする】 / 【アタック後】オーバーキル30：PPを1回復する。（このアタックを受けたリーダーに、そのリーダーの残り体力よりも30以上大きいダメージを与えていたなら、PPを1回復する。）"
"BP01","BP01-044/100","リンク・アサルト","attack","近似対応","medium","search_select","探索・選択処理を簡略化 / 正規イラスト表示UI確認済み","https://xross-stars.com/card/1-044","https://assets.xross-stars.com/card/BP01/BP01-044_6d5c0960db664ab37e5a25b8bb609a54.png","ready","ready","【アタックする】 / 【アタック後】自分のデッキの上から3枚を見る。その中からコスト1以下のメモリアカード1枚を、コストを支払わずにプレイしてもよい。残りのカードをトラッシュに置く。（プレイしたカードの効果は、このアタックが終わってから実行する。）"
"BP01","BP01-052/100","スタンプキル","attack","近似対応","medium","signal_1+signal_4","実装済みサブ処理の組み合わせだが全文一致では未検証 / 正規イラスト表示UI確認済み","https://xross-stars.com/card/1-052","https://assets.xross-stars.com/card/BP01/BP01-052_86c362a06431e8fc8d8c0485a93ebeb4.png","ready","ready","【アタックする】 / 【アタック後】オーバーキル30：PPを1回復する。（このアタックを受けたリーダーに、そのリーダーの残り体力よりも30以上大きいダメージを与えていたなら、PPを1回復する。）"
"BP01","BP01-053/100","超新星","memoria","近似対応","medium","signal_5+signal_6","実装済みサブ処理の組み合わせだが全文一致では未検証 / 正規イラスト表示UI確認済み","https://xross-stars.com/card/1-053","https://assets.xross-stars.com/card/BP01/BP01-053_4121151f957813d7cc25af49e65b2653.png","ready","ready","【アタック強化】次のアタックのダメージ+30。 / 【アタック後】このアタックを受けたリーダーがダウンしているなら、PPを2回復し、カードを1枚引く。"
"BP01","BP01-056/100","何も知らない","memoria","近似対応","medium","signal_2","実装済みサブ処理の組み合わせだが全文一致では未検証 / 正規イラスト表示UI確認済み","https://xross-stars.com/card/1-056","https://assets.xross-stars.com/card/BP01/BP01-056_c5ecef0c5d88e07e5eb49a038ba0ea34.png","ready","ready","【アタック強化】プレイエリアにメモリアカードが3枚以上あるなら、次のアタックのダメージ+30。（メモリアカードの数は【アタック強化】を実行するときに数える。）"
"BP01","BP01-068/100","運命のルーレット","memoria","近似対応","medium","declare_choice","宣言処理を自動化 / 正規イラスト表示UI確認済み","https://xross-stars.com/card/1-068","https://assets.xross-stars.com/card/BP01/BP01-068_b29bd8e3fdfa8902a0000561d64041c4.png","ready","ready","【プレイ時】メモリアカードかアタックカードのどちらかを宣言し、自分のデッキの上から1枚を公開する。そのカードが宣言したカードタイプならカードを4枚引く。それ以外なら公開したカードをトラッシュに置く。"
"BP01","BP01-073/100","福男","memoria","近似対応","medium","signal_6","実装済みサブ処理の組み合わせだが全文一致では未検証 / 正規イラスト表示UI確認済み","https://xross-stars.com/card/1-073","https://assets.xross-stars.com/card/BP01/BP01-073_8d6b3ed1683730397554a0c70401af19.png","ready","ready","【プレイ時】自分のリーダーが3体ダウンしているなら、カードを1枚引く。 / 【アタック強化】次のアタックのダメージ+40。"
"BP01","BP01-075/100","開店セレモニー","memoria","近似対応","medium","signal_2","実装済みサブ処理の組み合わせだが全文一致では未検証 / 正規イラスト表示UI確認済み","https://xross-stars.com/card/1-075","https://assets.xross-stars.com/card/BP01/BP01-075_52b049e38b3d83dfc8a89f4d34edce32.png","ready","ready","【アタック強化】次のアタックのダメージ+20。プレイエリアにメモリアカードが3枚以上あるなら、さらにダメージ+50。（メモリアカードの数は【アタック強化】を実行するときに数える。）"
"BP01","BP01-077/100","777","memoria","近似対応","medium","signal_2","実装済みサブ処理の組み合わせだが全文一致では未検証 / 正規イラスト表示UI確認済み","https://xross-stars.com/card/1-077","https://assets.xross-stars.com/card/BP01/BP01-077_b20a2f60a7a4e4a3ee57bf7b3b4a78df.png","ready","ready","【アタック強化】プレイエリアにメモリアカードが3枚以上あるなら、次のアタックのダメージ+30。（メモリアカードの数は【アタック強化】を実行するときに数える。）"
