phase,work_group,estimated_points,officialSet,officialCardNumber,name,type,touchpoints,detailed_steps,test_cases,officialUrl,text
"1","A1: アタック前 任意ディスカード→打点上昇 共通化","3","BP01","BP01-020/100","大黒柱","attack","src/store/battleEffects.ts / src/App.tsx / 入力UI/確認モーダル","attack前処理フックを追加 → 任意ディスカード分岐を追加 → 一時打点加算を実装","通常使用時 / 任意効果を使う/使わない / リーサル計算","https://xross-stars.com/card/1-020","【アタックする】手札を1枚捨ててもよい。そうしたならダメージ+20。"
"1","A1: アタック前 任意ディスカード→打点上昇 共通化","3","BP01","BP01-040/100","Lastman Standing","attack","src/store/battleEffects.ts / src/App.tsx / 入力UI/確認モーダル","attack前処理フックを追加 → 任意ディスカード分岐を追加 → 一時打点加算を実装","通常使用時 / 任意効果を使う/使わない / リーサル計算","https://xross-stars.com/card/1-040","【アタックする】手札を1枚捨ててもよい。そうしたならダメージ+20。"
"2","A2: アタック前 コスト0公開/捨て→ドロー+打点 共通化","5","BP01","BP01-026/100","CLUTCH!!!","attack","src/store/battleEffects.ts / src/App.tsx / 入力UI/確認モーダル / 山札確認UI","attack前処理フックを追加 → 任意ディスカード分岐を追加 → コスト0カード存在確認と選択UIを追加 → 一時打点加算を実装","通常使用時 / 任意効果を使う/使わない / コスト0あり/なし / リーサル計算","https://xross-stars.com/card/1-026","【アタックする】自分の手札のコスト0のカード1枚を公開し、捨ててもよい。そうしたならカードを1枚引き、ダメージ+40。"
"2","A2: アタック前 コスト0公開/捨て→ドロー+打点 共通化","5","BP01","BP01-134/100","CLUTCH!!!","attack","src/store/battleEffects.ts / src/App.tsx / 入力UI/確認モーダル / 山札確認UI","attack前処理フックを追加 → 任意ディスカード分岐を追加 → コスト0カード存在確認と選択UIを追加 → 一時打点加算を実装","通常使用時 / 任意効果を使う/使わない / コスト0あり/なし / リーサル計算","https://xross-stars.com/card/1-134","【アタックする】自分の手札のコスト0のカード1枚を公開し、捨ててもよい。そうしたならカードを1枚引き、ダメージ+40。"
"2","A2: アタック前 コスト0公開/捨て→ドロー+打点 共通化","5","BP03","BP03-030/081","セルフ実況","attack","src/store/battleEffects.ts / src/App.tsx / 入力UI/確認モーダル / 山札確認UI","attack前処理フックを追加 → 任意ディスカード分岐を追加 → コスト0カード存在確認と選択UIを追加 → 一時打点加算を実装","通常使用時 / 任意効果を使う/使わない / コスト0あり/なし / リーサル計算","https://xross-stars.com/card/6-030","【アタックする】自分の手札のコスト0のカード1枚を公開し、捨ててもよい。そうしたならカードを1枚引き、ダメージ+20。"
"3","A3: アタック後 全員ディスカード","2","BP01","BP01-032/100","ドリル開錠","attack","src/store/battleEffects.ts","attack前処理フックを追加 → attack後の両者ディスカードを追加","通常使用時 / アタック後効果の発火確認 / リーサル計算","https://xross-stars.com/card/1-032","【アタックする】 / 【アタック後】すべてのプレイヤーは手札を1枚捨てる。"
"3","A4: アタック後 メモリア総コスト参照ドロー","3","BP03","BP03-024/081","頂きの景色","attack","src/store/battleEffects.ts","attack前処理フックを追加 → field memoria cost集計関数を追加 → 集計値ぶんドローを追加","通常使用時 / アタック後効果の発火確認 / リーサル計算","https://xross-stars.com/card/6-024","【アタックする】 / 【アタック後】プレイエリアにあるメモリアカードのコストの合計と同じ数のカードを引く。"
"3","A4: アタック後 メモリア総コスト参照ドロー","3","BP03","BP03-107/081","頂きの景色","attack","src/store/battleEffects.ts","attack前処理フックを追加 → field memoria cost集計関数を追加 → 集計値ぶんドローを追加","通常使用時 / アタック後効果の発火確認 / リーサル計算","https://xross-stars.com/card/6-107","【アタックする】 / 【アタック後】プレイエリアにあるメモリアカードのコストの合計と同じ数のカードを引く。"
"4","A5: アタックカード自身が次アタック強化を付与","2","BP02","BP02-043/082","マウントタックル","attack","src/store/battleEffects.ts","attack前処理フックを追加 → 一時打点加算を実装 → このカード解決後にnextAttackBuffへ+20付与","通常使用時 / リーサル計算","https://xross-stars.com/card/5-043","【アタックする】 / 【アタック強化】次のアタックのダメージ+20。"
"5","M1: 2ドロー2ディスカード + 次アタック+30 共通化","2","BP01","BP01-063/100","苦難の昇格","memoria","src/store/battleEffects.ts","memoria play解決に複合効果を追加 → 2ドロー2ディスカードを先に解決 → 後段でnextAttackBuffを加算","プレイ時即時効果 / 次アタックへのbuff持ち越し","https://xross-stars.com/card/1-063","【プレイ時】カードを2枚引き、手札を2枚捨てる。 / 【アタック強化】次のアタックのダメージ+30。"
